Akl, J.	CSIRO
Alin, S.	NOAA PMEL
Andersson A.	Scripps Inst Ocean
Atamanchuk, D.	Dalhousie Univ
Bakker, D.	Univ East Anglia
Bates, N.R.	Bermuda Inst Ocean Sci
Beaumont, L.	LOCEAN
Becker, M.	Univ Bergen
Bégovic, M.	Univ Pierre Marie Curie
Bellerby, R.G.J.	Bjerknes Centre Clim Res
Benoit-Cattin-Breton, A.	MFRI Iceland
Bianchi, A.	SHN Argentina
Borges, A.	Univ Liège
Boutin, J.	LOCEAN
Bozec, Y.	Bio Sta Roscoff
Bozzano, R.	Nat Res Council Italy
Brown, M.I.	Plymouth Marine Lab
Cai, W.-J.	Univ Delaware
Castle, R.D.	NOAA AOML
Chen, L.	TIO China
Chierici, M.	Norwegian Polar Inst
Childs, D.	Bedford Inst Ocean
Claustre, H.	OOV France
Collins, A.	NOAA PMEL
Copin-Montégut, C.	Univ Pierre Marie Curie
Corredor, J.	Univ Puerto Rico
Cosca, C.	NOAA PMEL
Cronin, M.	Irish Marine Inst.
Cross, J.	NOAA PMEL
Currie, K.I.	NIWA
Danguy, T.	LOCEAN
Dandonneau, Y.	Univ Pierre Marie Curie
de Baar, H.J.W.	NIOZ
DeCarlo, E.	Univ Hawaii
DeGrandpre, M.	Univ Montana
Farias, L.	Univ Concepción
Feely, R.	NOAA PMEL
Ferron, S.	Univ Hawaii
Fiedler, B.	GEOMAR
Frankignoulle, M.	OMEX
Fransson, A.	Norwegian Polar Inst
Glockzin, M.	Leibniz IOW
González-Dávila, M.	Univ Las Palmas
Goyet, C.	Woods Hole Ocean Inst
Garreaud, R.	Univ Chile
Greenwood, N.	CEFAS UK
Gregor, L.	CSIR SOCCO
Gkritzalis, T.	Flanders Marine Inst
Guillot, A.	LOCEAN
Gutekunst, S.	GEOMAR
Hardman-Mountford, N.J.	Plymouth Marine Lab
Hartman, S.E.	NOC UK
Ho, D.T.	Univ Hawaii
Hood, E.M.	LOCEAN
Hoppema, M.	Alfred Wegener Inst
Howden, S.	Univ Southern Mississippi
Humphreys, M.	NIOZ
Hunt, C.W.	Univ New Hampshire
Hydes, D.	NOC UK
Ichikawa, T.	FRA Japan
Inoue, H.	MRI Japan
Ishii, M.	MRI Japan
Johannessen, T.	Univ Bergen
Jutterström, S.	Univ Bergen
Kadono, K.	Japan Met Agency
Keeling, C.D.	Scripps Inst Ocean
Key, R.	Princeton Univ
Kitidis, V.	Plymouth Marine Lab
Kosugi, N.	MRI Japan
Körtzinger, A.	Univ Bergen
Krasakopoulou, E.	Hellenic Centre Marine Res
Kuwata, A.	Tohoku NFRI
Landschützer, P.	Max Planck Inst
Lauvset, S.K.	Univ Bergen
Lee, C.	KIOST
Lefèvre, N.	LOCEAN
Lendt, R.	Hamburg Univ
Mackey, D.	CSIRO
Marrec, P.	Bio Sta Roscoff
Mathis, J.	NOAA PMEL
Merlivat, L.	LOCEAN
Metzl, N.	LOCEAN
Millero, F.	RSMAS Univ Miami
Mintrop, L.	GEOMAR
Murata, A.	JAMSTEC
Musielewicz, S.	NOAA PMEL
Monacci, N.	Univ Alaska
Monteiro, P.M.S.	CSIR SOCCO
Morell, J.	Univ Puerto Rico
Munro, D.R.	IAAR Univ Colorado
Nakaoka, S.-I.	NIES Japan
Nakadate, A.	Japan Met Agency
Neill, C.	CSIRO
Newberger, T.	NOAA ESRL CIRES
Nojiri, Y.	NIES Japan
Ólafsdóttir, S.R.	MFRI Iceland
Olsen, A.	Univ Bergen
Omar, A.	Univ Bergen
Ono, T.	FRA Japan
Osborne, J.	NOAA PMEL
Ouyang, Z.	Univ Delaware
Padín, X.A.	CSIC Spain
Papakyriakou, T.	Univ Manitoba
Park, G.-H.	KIOST
Pérez, F.F.	CSIC Spain
Poisson, A.	Univ Pierre Marie Curie
Pierrot, D.	NOAA AOML
Rehder, G.	Leibniz IOW
Reimer, J.J.	Univ Delaware
Ríos, A.F.	CSIC Spain
Robbins, L.L.	USGS
Robertson, J.	Plymouth Marine Lab
Rutgersson, A.	Uppsala Univ
Sabine, C.	NOAA PMEL
Saito, S.	MRI Japan
Sakurai, K.	Japan Met Agency
Salisbury, J.	Univ New Hampshire
Santana-Casiano, J.M.	Univ Las Palmas
Sasano, D.	MRI Japan
Schneider, B.	Leibniz IOW
Schuster, U.	Univ Exeter
Send, U.	Scripps Inst Ocean
Skjelvan, I.	Univ Bergen
Steinhoff, T.	GEOMAR
Sutherland, S.C.	LDEO Columbia Univ
Sutton, A.	NOAA PMEL
Sweeney, C.	NOAA ESRL CIRES
Tadokoro, K.	Tohoku NFRI
Takahashi, T.	LDEO Columbia Univ
Tanhua, T.	GEOMAR
Thomas, H.	NIOZ
Tilbrook, B.	CSIRO
Touratier, F.	Univ Perpignan
Tréguer, P.	IUEM
Tsurushima, N.	AIST Japan
van Heuven, S.	NIOZ
van Ooijen, E.	CSIRO
Vandemark, D.	Univ New Hampshire
Wallace, D.	Dalhousie Univ
Wanninkhof, R.	NOAA AOML
Ward, B.	Univ Ireland
Watson, A.J.	Univ Exeter
Weiss, R.	Scripps Inst Ocean
Wong, C.S.	Inst Ocean Sci Canada
Woosley, R.	RSMAS Univ Miami
